Timestamp,Table,Action,User,Record ID
12/4/2025, 2:24:38 PM,prescriptions,UPDATE,High Lord,37cf53a7-4b44-4514-a537-ef469ffa246d
12/4/2025, 11:58:05 AM,prescriptions,INSERT,Justina Kashishi,37cf53a7-4b44-4514-a537-ef469ffa246d
12/4/2025, 10:30:09 AM,prescriptions,UPDATE,High Lord,f88bbeb8-0b48-48c4-ba2e-a205ccd4c88f
12/4/2025, 10:27:27 AM,prescriptions,UPDATE,High Lord,8b555a47-3271-463a-abbe-ce1b255d3da4
12/4/2025, 10:19:24 AM,prescriptions,INSERT,Justina Kashishi,f88bbeb8-0b48-48c4-ba2e-a205ccd4c88f
12/3/2025, 7:51:58 PM,prescriptions,UPDATE,High Lord,666e4238-70bb-4a89-90f8-ec809f6d60a9
12/3/2025, 7:51:29 PM,prescriptions,UPDATE,High Lord,27e9156c-bc55-4531-a14f-959f51da18a9
12/3/2025, 1:12:23 PM,prescriptions,INSERT,Justina Kashishi,27e9156c-bc55-4531-a14f-959f51da18a9
12/3/2025, 8:20:13 AM,prescriptions,INSERT,Justina Kashishi,666e4238-70bb-4a89-90f8-ec809f6d60a9
12/2/2025, 10:46:05 PM,prescriptions,INSERT,Justina Kashishi,6a3d552c-db3f-44e7-ac5b-39336c9ea5be
12/2/2025, 9:35:36 PM,prescriptions,INSERT,Justina Kashishi,b9246af4-b0d2-4247-8ddc-f29d0bcaa157
